k,t,r
399,188.098847,0.019994,0.209818
400,188.625483,0.019874,0.207354
401,189.030569,0.019758,0.207354
402,189.567768,0.019650,0.204704
403,189.970236,0.019545,0.204704
404,190.511282,0.019438,0.202192
405,190.924760,0.019323,0.202192
406,191.460906,0.019204,0.199511
407,191.861419,0.019078,0.199511
408,192.388539,0.018949,0.196479
409,192.790190,0.018822,0.196479
410,193.326462,0.018700,0.193361
411,193.723159,0.018580,0.193361
412,194.253594,0.018460,0.190382
413,194.656133,0.018336,0.190382
414,195.197330,0.018205,0.187229
415,195.602194,0.018070,0.187229
416,196.134311,0.017940,0.183753
417,196.542986,0.017823,0.183753
418,197.087682,0.017715,0.180659
419,197.496162,0.017613,0.180659
420,198.037349,0.017509,0.178187
421,198.448070,0.017399,0.178187
422,198.982495,0.017286,0.175762
423,199.382848,0.017177,0.175762
424,199.919305,0.017076,0.173298
425,200.323385,0.016983,0.173298
426,200.859564,0.016894,0.171121
427,201.265632,0.016806,0.171121
428,201.800409,0.016716,0.169254
429,202.199367,0.016619,0.169254
430,202.725801,0.016510,0.167150
431,203.141429,0.016391,0.167150
432,203.672360,0.016272,0.164232
433,204.077354,0.016161,0.164232
434,204.608378,0.016062,0.161097
435,205.012558,0.015965,0.161097
436,205.549267,0.015859,0.158234
437,205.959792,0.015732,0.158234
438,206.492539,0.015588,0.154947
439,206.896184,0.015442,0.154947
440,207.432336,0.015310,0.151088
441,207.836751,0.015198,0.151088
442,208.372810,0.015099,0.147707
443,208.775638,0.015006,0.147707
444,209.323174,0.014906,0.145109
445,209.727239,0.014794,0.145109
446,210.268024,0.014669,0.142463
447,210.665911,0.014530,0.142463
448,211.203782,0.014381,0.139030
449,211.605843,0.014226,0.139030
450,212.159133,0.014072,0.134831
451,212.558117,0.013923,0.134831
452,213.092484,0.013776,0.130278
453,213.508924,0.013631,0.130278
454,214.049679,0.013486,0.125683
455,214.462876,0.013348,0.125683
456,215.009749,0.013220,0.121409
457,215.412142,0.013101,0.121409
458,215.946397,0.012983,0.117802
459,216.353643,0.012866,0.117802
460,216.903931,0.012751,0.114829
461,217.306822,0.012639,0.114829
462,217.838058,0.012526,0.112236
463,218.238153,0.012411,0.112236
464,218.766202,0.012300,0.109669
