k,t,r
766,361.403106,0.000008,0.000089
767,361.804162,0.000008,0.000089
768,362.344026,0.000007,0.000088
769,362.747321,0.000007,0.000088
770,363.288081,0.000007,0.000086
771,363.690499,0.000007,0.000086
772,364.220534,0.000007,0.000085
773,364.631038,0.000007,0.000085
774,365.164030,0.000007,0.000083
775,365.574395,0.000007,0.000083
776,366.116737,0.000007,0.000082
777,366.519611,0.000007,0.000082
778,367.052070,0.000007,0.000081
779,367.451641,0.000007,0.000081
780,367.988477,0.000007,0.000080
781,368.391332,0.000007,0.000080
782,368.923584,0.000007,0.000080
783,369.326569,0.000007,0.000080
784,369.870673,0.000007,0.000080
785,370.280554,0.000007,0.000080
786,370.815608,0.000007,0.000080
787,371.219143,0.000007,0.000080
788,371.757905,0.000007,0.000080
789,372.161917,0.000007,0.000080
790,372.695250,0.000007,0.000081
791,373.102694,0.000007,0.000081
792,373.631218,0.000006,0.000081
793,374.028770,0.000006,0.000081
794,374.576234,0.000006,0.000082
795,374.987426,0.000006,0.000082
796,375.515826,0.000006,0.000082
797,375.916101,0.000006,0.000082
798,376.450709,0.000006,0.000082
799,376.854190,0.000006,0.000082
800,377.399027,0.000006,0.000082
801,377.796798,0.000006,0.000082
802,378.322697,0.000006,0.000081
803,378.719892,0.000006,0.000081
804,379.251631,0.000006,0.000081
805,379.652767,0.000006,0.000081
806,380.184343,0.000006,0.000080
807,380.585239,0.000006,0.000080
808,381.130553,0.000006,0.000079
809,381.536802,0.000006,0.000079
810,382.064242,0.000006,0.000079
811,382.472998,0.000006,0.000079
812,383.012302,0.000006,0.000079
813,383.420219,0.000006,0.000079
814,383.967346,0.000006,0.000078
815,384.373474,0.000006,0.000078
816,384.905082,0.000006,0.000078
817,385.311286,0.000006,0.000078
818,385.851096,0.000006,0.000078
819,386.266281,0.000006,0.000078
820,386.803225,0.000006,0.000078
821,387.199843,0.000006,0.000078
